property_id,formatted_address,zip_code,style,beds,full_baths,half_baths,sqft,year_built,list_price,sold_price,latitude,longitude,stories,days_on_mls,neighborhoods
8660426322,"10129 S Indiana Ave, Chicago, IL, 60628",60628,SINGLE_FAMILY,2.0,1.0,,1022.0,1954.0,139000.0,127500.0,41.710017,-87.618358,1.0,98.0,"Far Southeast Side, Roseland, Rosemoor"
7234024438,"2322 W 35th Pl, Chicago, IL, 60609",60609,SINGLE_FAMILY,5.0,3.0,,2200.0,1898.0,390000.0,395000.0,41.829564,-87.683542,3.0,114.0,"McKinley Park, Southwest Side"
7628931112,"4170 N Marine Dr Apt 24G, Chicago, IL, 60613",60613,CONDOS,1.0,1.0,,950.0,1973.0,278500.0,265000.0,41.957682,-87.647042,25.0,35.0,"Far North Side, Uptown, Buena Park"
8995263780,"2234 W Fletcher St, Chicago, IL, 60618",60618,SINGLE_FAMILY,5.0,3.0,1.0,4140.0,2005.0,1475000.0,1440000.0,41.938846,-87.68456,2.0,49.0,"North Center, North Side, Hamlin Park"
7047659721,"1728 N Damen Ave Apt 215, Chicago, IL, 60647",60647,CONDOS,2.0,2.0,,1772.0,1937.0,550000.0,600000.0,41.913425,-87.678548,3.0,51.0,"West Side, Wicker Park, West Town"
8646131425,"7513 S Aberdeen St, Chicago, IL, 60620",60620,SINGLE_FAMILY,3.0,3.0,,1653.0,1925.0,225000.0,215000.0,41.757206,-87.65114,2.0,310.0,"Auburn Gresham, Far Southwest Side"
7351946872,"3130 W Walton St Unit 1, Chicago, IL, 60622",60622,CONDOS,2.0,2.0,,1300.0,2009.0,285000.0,280000.0,41.898548,-87.705494,4.0,50.0,"West Side, Humboldt Park"
7086678752,"11520 S Princeton Ave, Chicago, IL, 60628",60628,SINGLE_FAMILY,3.0,1.0,,923.0,1910.0,50000.0,42500.0,41.68451,-87.630412,2.0,36.0,"West Pullman, Far Southeast Side"
7106200513,"6743 N Greenview Ave, Chicago, IL, 60626",60626,SINGLE_FAMILY,5.0,2.0,1.0,2800.0,1897.0,895000.0,865000.0,42.004855,-87.6678,3.0,49.0,"Loyola, Far North Side, Rogers Park"
7530580847,"700 N Larrabee St Apt 1908, Chicago, IL, 60654",60654,CONDOS,2.0,2.0,,1250.0,2006.0,539000.0,525000.0,41.895209,-87.643408,,84.0,"Downtown Chicago, River North, Near North Side"
8271994997,"180 E Pearson St Apt 4904, Chicago, IL, 60611",60611,CONDOS,3.0,2.0,1.0,2754.0,1975.0,2447747.0,2275000.0,41.897752,-87.622646,73.0,106.0,"Streeterville, Downtown Chicago, Near North Side"
7396143884,"147 E 118th Pl, Chicago, IL, 60628",60628,SINGLE_FAMILY,3.0,1.0,,990.0,1918.0,43000.0,46500.0,41.678732,-87.618664,1.0,99.0,"West Pullman, Far Southeast Side"
7026565396,"7021 N Sheridan Rd Apt 1, Chicago, IL, 60626",60626,CONDOS,2.0,2.0,,1449.0,,325000.0,360000.0,42.01005,-87.661894,3.0,29.0,"Far North Side, Rogers Park"
8036898840,"510 W Erie St Apt 1606, Chicago, IL, 60654",60654,CONDOS,2.0,2.0,,1225.0,2002.0,525000.0,510000.0,41.894028,-87.641805,24.0,88.0,"Downtown Chicago, Near North Side, River North"
8136550383,"5345 S Ellis Ave Apt H1, Chicago, IL, 60615",60615,SINGLE_FAMILY,3.0,1.0,,1000.0,1915.0,179000.0,179000.0,41.798254,-87.600827,3.0,399.0,"Hyde Park, South Side, Hyde Park Kenwood Historic District"
7869441653,"2034 N Mohawk St Apt 1, Chicago, IL, 60614",60614,CONDOS,4.0,4.0,1.0,2600.0,2023.0,1950000.0,1902000.0,41.919353,-87.642838,3.0,72.0,"North Side, Lincoln Park"
